Direction,ID,Description,GeneRatio,GeneRatio_num,Count,p.adjust,qvalue,geneID
Up,GO:0031333,negative regulation of protein-containing complex assembly,4/32,0.125,4,0.005757680675058584,0.003879697413534286,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:0051494,negative regulation of cytoskeleton organization,4/32,0.125,4,0.005757680675058584,0.003879697413534286,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:1902904,negative regulation of supramolecular fiber organization,4/32,0.125,4,0.005757680675058584,0.003879697413534286,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:0032271,regulation of protein polymerization,4/32,0.125,4,0.009133920182037476,0.0061547085546418984,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:0048488,synaptic vesicle endocytosis,3/32,0.09375,3,0.01046541141819452,0.007051907165783959,Ap2m1/Sncb/Cltb
Up,GO:0010976,positive regulation of neuron projection development,4/32,0.125,4,0.01046541141819452,0.007051907165783959,Ptn/Tubb2b/Marcks/Stmn2
Up,GO:0043254,regulation of protein-containing complex assembly,5/32,0.15625,5,0.01046541141819452,0.007051907165783959,Pfn2/Tpm1/Tubb4a/Stmn2/Ppp2ca
Up,GO:0031346,positive regulation of cell projection organization,5/32,0.15625,5,0.01046541141819452,0.007051907165783959,Ptn/Tubb2b/Marcks/Stmn2/Islr2
Up,GO:0036465,synaptic vesicle recycling,3/32,0.09375,3,0.011446428128505,0.007712945561003186,Ap2m1/Sncb/Cltb
Up,GO:0051258,protein polymerization,4/32,0.125,4,0.01804093142699135,0.012156519082110365,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,3/32,0.09375,3,0.036552071256438175,0.02462987864666204,Ap2m1/Neto2/Ywhae
Up,GO:0050807,regulation of synapse organization,4/32,0.125,4,0.036552071256438175,0.02462987864666204,Ptn/Crmp1/Marcks/Nectin1
Up,GO:0010639,negative regulation of organelle organization,4/32,0.125,4,0.036552071256438175,0.02462987864666204,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:0050803,regulation of synapse structure or activity,4/32,0.125,4,0.036552071256438175,0.02462987864666204,Ptn/Crmp1/Marcks/Nectin1
Up,GO:0051017,actin filament bundle assembly,3/32,0.09375,3,0.036552071256438175,0.02462987864666204,Pfn2/Tpm1/Marcks
Up,GO:1902903,regulation of supramolecular fiber organization,4/32,0.125,4,0.036552071256438175,0.02462987864666204,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:0061572,actin filament bundle organization,3/32,0.09375,3,0.036552071256438175,0.02462987864666204,Pfn2/Tpm1/Marcks
Up,GO:0032535,regulation of cellular component size,4/32,0.125,4,0.036552071256438175,0.02462987864666204,Pfn2/Ap2m1/Tpm1/Islr2
Up,GO:1902905,positive regulation of supramolecular fiber organization,3/32,0.09375,3,0.039486247432091844,0.026607014295891428,Pfn2/Tpm1/Stmn2
Up,GO:0051495,positive regulation of cytoskeleton organization,3/32,0.09375,3,0.042228010732039876,0.028454496395656084,Pfn2/Tpm1/Stmn2
Up,GO:0031345,negative regulation of cell projection organization,3/32,0.09375,3,0.04417604403272699,0.02976713948663083,Pfn2/Crmp1/Stmn2
Up,GO:0007015,actin filament organization,4/32,0.125,4,0.04417604403272699,0.02976713948663083,Pfn2/Tpm1/Marcksl1/Marcks
Up,GO:1905475,regulation of protein localization to membrane,3/32,0.09375,3,0.04613849151220956,0.03108949528231204,Ptn/Ap2m1/Neto2
