"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902903","regulation of supramolecular fiber organization","4/32","406/28928",0.00985221674876847,8.9064039408867,5.33899913483359,0.00100732585727989,0.0365520712564382,0.024629878646662,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:0061572","actin filament bundle organization","3/32","180/28928",0.0166666666666667,15.0666666666667,6.29986805055288,0.00102899184531141,0.0365520712564382,0.024629878646662,"Pfn2/Tpm1/Marcks",3
"GO:0032535","regulation of cellular component size","4/32","411/28928",0.0097323600973236,8.79805352798054,5.29862309058258,0.00105398129343824,0.0365520712564382,0.024629878646662,"Pfn2/Ap2m1/Tpm1/Islr2",4
"GO:1902905","positive regulation of supramolecular fiber organization","3/32","189/28928",0.0158730158730159,14.3492063492063,6.12714763494489,0.00118413198758292,0.0394862474320918,0.0266070142958914,"Pfn2/Tpm1/Stmn2",3
"GO:0099010","modification of postsynaptic structure","2/32","47/28928",0.0425531914893617,38.468085106383,8.55484482543326,0.00124227118460977,0.0398907080391359,0.0268795519476967,"Pfn2/Marcks",2
"GO:0072583","clathrin-dependent endocytosis","2/32","49/28928",0.0408163265306122,36.8979591836735,8.36921156885118,0.0013495809564544,0.041788810330213,0.0281585500312854,"Ap2m1/Cltb",2
"GO:0051495","positive regulation of cytoskeleton organization","3/32","201/28928",0.0149253731343284,13.4925373134328,5.91440920953588,0.00141291367421678,0.0422280107320399,0.0284544963956561,"Pfn2/Tpm1/Stmn2",3
"GO:0031111","negative regulation of microtubule polymerization or depolymerization","2/32","51/28928",0.0392156862745098,35.4509803921569,8.19442452779388,0.0014611768419391,0.0422280107320399,0.0284544963956561,"Tubb4a/Stmn2",2
"GO:0035329","hippo signaling","2/32","54/28928",0.037037037037037,33.4814814814815,7.95036478366879,0.0016365671606656,0.044176044032727,0.0297671394866308,"Ywhae/Ppp2ca",2
"GO:0099563","modification of synaptic structure","2/32","55/28928",0.0363636363636364,32.8727272727273,7.8734022239045,0.00169715388887627,0.044176044032727,0.0297671394866308,"Pfn2/Marcks",2
"GO:1903170","negative regulation of calcium ion transmembrane transport","2/32","56/28928",0.0357142857142857,32.2857142857143,7.79847126846343,0.00175879847615435,0.044176044032727,0.0297671394866308,"Calm3/Ywhae",2
"GO:0031345","negative regulation of cell projection organization","3/32","218/28928",0.0137614678899083,12.4403669724771,5.6423422879813,0.0017818870848413,0.044176044032727,0.0297671394866308,"Pfn2/Crmp1/Stmn2",3
"GO:0007015","actin filament organization","4/32","476/28928",0.00840336134453781,7.59663865546218,4.82922671366517,0.0018069473716119,0.044176044032727,0.0297671394866308,"Pfn2/Tpm1/Marcksl1/Marcks",4
"GO:0031113","regulation of microtubule polymerization","2/32","58/28928",0.0344827586206897,31.1724137931034,7.65435292342977,0.00188525216748662,0.044176044032727,0.0297671394866308,"Tubb4a/Stmn2",2
"GO:0051496","positive regulation of stress fiber assembly","2/32","58/28928",0.0344827586206897,31.1724137931034,7.65435292342977,0.00188525216748662,0.044176044032727,0.0297671394866308,"Pfn2/Tpm1",2
"GO:0031529","ruffle organization","2/32","60/28928",0.0333333333333333,30.1333333333333,7.51735876572769,0.00201591014826418,0.045994581540659,0.0309925244400726,"Pfn2/Tpm1",2
"GO:1905475","regulation of protein localization to membrane","3/32","230/28928",0.0130434782608696,11.7913043478261,5.46789122224152,0.00207543387425164,0.0461384915122096,0.031089495282312,"Ptn/Ap2m1/Neto2",3
